-0.001  0.488
-0.001  5.250
0.009  9.155
0.013  13.794
0.018  18.189
0.018  23.317
0.033  26.855
0.038  31.372
0.038  36.378
0.048  40.405
0.058  44.310
0.062  48.949
0.072  52.732
0.077  57.493
0.080  62.010
0.084  66.771
0.092  70.921
0.102  75.071
0.111  78.976
0.124  82.636
0.128  87.275
0.141  91.058
0.148  95.208
0.158  99.113
0.168  103.507
0.175  107.657
0.195  110.705
0.207  114.488
0.217  118.637
0.231  122.175
0.253  124.857
0.273  127.783
0.300  129.975
0.329  132.167
0.358  134.237
0.398  135.328
0.432  136.786
0.476  137.388
0.522  137.867
0.566  138.590
0.608  139.315
0.659  139.182
0.708  139.172
0.750  139.896
0.799  140.008
0.841  140.733
0.892  140.844
0.931  142.057
0.982  141.803
1.034  141.548
1.080  141.905
1.124  142.262
1.171  142.741
1.215  143.343
1.266  143.210
1.313  143.567
1.357  144.169
1.408  144.036
1.452  144.760
1.504  144.627
1.548  144.985
1.592  145.586
1.643  145.698
1.685  146.422
1.731  146.901
1.780  146.891
1.827  147.370
1.876  147.360
1.920  147.840
1.961  148.808
2.010  148.798
2.059  148.788
2.115  148.410
2.157  149.135
2.201  149.736
2.248  150.093
2.301  149.716
2.338  151.051
2.385  151.408
2.438  151.031
2.482  151.511
2.536  151.255
2.580  151.735
2.627  152.214
2.673  152.449
2.725  152.316
2.776  152.184
2.820  152.785
2.867  153.142
2.920  153.009
2.957  153.856
3.011  153.723
3.055  154.325
3.106  154.436
3.150  154.672
3.195  155.395
3.248  155.140
3.290  155.864
3.344  155.609
3.388  156.211
3.417  156.449
